"3302055001DO001_20112013 Life Tables, States, Territories and Australia, 2011-2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,BMI,<25...14,2529...15,3034...16,3539...17,40+...18,<25...19,2529...20,3034...21,3539...22,40+...23,<25...24,2529...25,3034...26,3539...27,40+...28,<25...29,2529...30,3034...31,3539...32,40+...33
Released at 11:30 am (Canberra time) Thurs 6 Nov 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HR for BMI,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005
"Table 1.9 Life Tables, Australia, 2011–2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prevalence,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2
NA,Males,NA,NA,NA,Females,NA,NA,NA,NA,NA,NA,HR for low SEP,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1,1,1,1,1,1.39,1.39,1.39,1.39,1.39
NA,lx,qx,Lx,ex,lx,qx,Lx,ex,NA,qx,NA,Prevalence,0.52600000000000002,0.56699999999999995,0.47699999999999998,0.45,0.59199999999999997,NA,NA,NA,NA,NA,0.52600000000000002,0.56699999999999995,0.47699999999999998,0.45,0.59199999999999997,NA,NA,NA,NA,NA
Age,no.,rate,no.,years,no.,rate,no.,years,NA,male,female,NA,male_sep1_bmi0,male_sep1_bmi1,male_sep1_bmi2,male_sep1_bmi3,male_sep1_bmi4,male_sep0_bmi0,male_sep0_bmi1,male_sep0_bmi2,male_sep0_bmi3,male_sep0_bmi4,female_sep1_bmi0,female_sep1_bmi1,female_sep1_bmi2,female_sep1_bmi3,female_sep1_bmi4,female_sep0_bmi0,female_sep0_bmi1,female_sep0_bmi2,female_sep0_bmi3,female_sep0_bmi4
31,98448,8.1999999999999998E-4,98407,50.1,99094,4.0000000000000002E-4,99075,54,NA,8.1999999999999998E-4,4.0000000000000002E-4,NA,4.9038832300926855E-4,6.3750481991204917E-4,8.287562658856639E-4,1.0773831456513633E-3,1.4005980893467722E-3,6.8163976898288328E-4,8.8613169967774832E-4,1.1519712095810729E-3,1.497562572455395E-3,1.9468313441920132E-3,2.8343488214671315E-4,3.6846534679072711E-4,4.7900495082794529E-4,6.2270643607632891E-4,8.0951836689922754E-4,3.9397448618393123E-4,5.1216683203911067E-4,6.6581688165084387E-4,8.6556194614609706E-4,1.1252305299899261E-3
32,98367,8.5999999999999998E-4,98325,49.1,99054,4.2999999999999999E-4,99033,53,NA,8.5999999999999998E-4,4.2999999999999999E-4,NA,5.1430970461947671E-4,6.686026160053198E-4,8.6918340080691569E-4,1.1299384210489906E-3,1.4689199473636877E-3,7.1489048942107261E-4,9.2935763624739441E-4,1.2081649271216128E-3,1.570614405258097E-3,2.0417987268355258E-3,3.0469249830771661E-4,3.9610024780003161E-4,5.1493032214004113E-4,6.6940941878205356E-4,8.702322444166696E-4,4.2352257264772607E-4,5.5057934444204394E-4,7.1575314777465716E-4,9.3047909210705441E-4,1.2096228197391707E-3
33,98282,9.1E-4,98238,48.2,99011,4.4999999999999999E-4,98989,52,NA,9.1E-4,4.4999999999999999E-4,NA,5.4421143163223707E-4,7.0747486112190819E-4,9.1971731945848074E-4,1.1956325152960251E-3,1.5543222698848325E-3,7.5645388996880951E-4,9.8339005695945235E-4,1.2784070740472881E-3,1.6619291962614749E-3,2.1605079551399171E-3,3.1886424241505225E-4,4.1452351513956797E-4,5.3888056968143835E-4,7.0054474058586997E-4,9.1070816276163087E-4,4.4322129695692258E-4,5.7618768604399942E-4,7.4904399185719926E-4,9.737571894143591E-4,1.2658843462386668E-3
34,98193,9.5E-4,98146,47.2,98966,4.6999999999999999E-4,98943,51.1,NA,9.5E-4,4.6999999999999999E-4,NA,5.6813281324244523E-4,7.3857265721517882E-4,9.6014445437973253E-4,1.2481877906936525E-3,1.6226441279017481E-3,7.8970461040699883E-4,1.0266159935290984E-3,1.3346007915878281E-3,1.7349810290641769E-3,2.25547533778343E-3,3.3303598652238789E-4,4.3294678247910427E-4,5.6283081722283558E-4,7.3168006238968637E-4,9.5118408110659225E-4,4.6292002126611915E-4,6.017960276459549E-4,7.8233483593974145E-4,1.0170352867216641E-3,1.322145872738163E-3
35,98099,1E-3,98050,46.2,98919,5.0000000000000001E-4,98895,50.1,NA,1E-3,5.0000000000000001E-4,NA,5.9803454025520548E-4,7.774449023317671E-4,1.0106783730312974E-3,1.3138818849406867E-3,1.7080464504228927E-3,8.3126801095473552E-4,1.0806484142411562E-3,1.4048429385135031E-3,1.8262958200675544E-3,2.3741845660878204E-3,3.5429360268339141E-4,4.6058168348840883E-4,5.9875618853493157E-4,7.7838304509541113E-4,1.0118979586240344E-3,4.9246810772991399E-4,6.4020854004888817E-4,8.3227110206355475E-4,1.0819524326826212E-3,1.4065381624874076E-3
36,98001,1.0499999999999999E-3,97949,45.3,98870,5.4000000000000001E-4,98844,49.1,NA,1.0499999999999999E-3,5.4000000000000001E-4,NA,6.2793626726796573E-4,8.163171474483555E-4,1.0612122916828623E-3,1.379575979187721E-3,1.7934487729440373E-3,8.7283141150247231E-4,1.1346808349532141E-3,1.4750850854391784E-3,1.9176106110709321E-3,2.4928937943922117E-3,3.8263709089806275E-4,4.9742821816748154E-4,6.4665668361772613E-4,8.4065368870304405E-4,1.0928497953139572E-3,5.3186555634830723E-4,6.9142522325279945E-4,8.9885279022863926E-4,1.1685086272972313E-3,1.5190612154864006E-3
37,97897,1.1100000000000001E-3,97843,44.3,98816,5.9999999999999995E-4,98787,48.1,NA,1.1100000000000001E-3,5.9999999999999995E-4,NA,6.6381833968327819E-4,8.6296384158826166E-4,1.1218529940647403E-3,1.4584088922841626E-3,1.8959315599694111E-3,9.2270749215975657E-4,1.1995197398076837E-3,1.5593756617499888E-3,2.0271883602749857E-3,2.6353448683574814E-3,4.2515232322006967E-4,5.5269802018609055E-4,7.185074262419178E-4,9.3405965411449325E-4,1.2142775503488413E-3,5.9096172927589681E-4,7.6825024805866589E-4,9.9872532247626575E-4,1.2983429192191455E-3,1.6878457949848892E-3
38,97789,1.1800000000000001E-3,97732,43.4,98757,6.6E-4,98725,47.2,NA,1.1800000000000001E-3,6.6E-4,NA,7.0568075750114263E-4,9.1738498475148547E-4,1.1926004801769312E-3,1.5503806242300106E-3,2.0154948114990139E-3,9.8089625292658829E-4,1.2751651288045649E-3,1.6577146674459345E-3,2.1550290676797148E-3,2.8015377879836295E-3,4.6766755554207665E-4,6.0796782220469967E-4,7.9035816886610958E-4,1.0274656195259427E-3,1.3357053053837254E-3,6.5005790220348651E-4,8.4507527286453244E-4,1.0985978547238923E-3,1.4281772111410602E-3,1.8566303744833781E-3
39,97673,1.25E-3,97613,42.4,98692,7.2000000000000005E-4,98657,46.2,NA,1.25E-3,7.2000000000000005E-4,NA,7.4754317531900685E-4,9.7180612791470896E-4,1.2633479662891218E-3,1.6423523561758585E-3,2.1350580630286158E-3,1.0390850136934194E-3,1.3508105178014452E-3,1.7560536731418789E-3,2.2828697750844427E-3,2.9677307076097755E-3,5.1018278786408363E-4,6.6323762422330879E-4,8.6220891149030136E-4,1.120871584937392E-3,1.4571330604186096E-3,7.091540751310762E-4,9.2190029767039909E-4,1.1984703869715189E-3,1.5580115030629747E-3,2.0254149539818671E-3
40,97551,1.34E-3,97486,41.5,98621,7.9000000000000001E-4,98583,45.2,NA,1.34E-3,7.9000000000000001E-4,NA,8.0136628394197548E-4,1.0417761691245682E-3,1.3543090198619386E-3,1.7606017258205205E-3,2.2887822435666764E-3,1.1138991346793458E-3,1.4480688750831497E-3,1.8824895376080945E-3,2.4472363988905232E-3,3.18140731855768E-3,5.5978389223975843E-4,7.2771905991168601E-4,9.4603477788519181E-4,1.2298452112507496E-3,1.5987987746259743E-3,7.7809961021326412E-4,1.0115294932772434E-3,1.3149883412604164E-3,1.7094848436385417E-3,2.2223302967301043E-3
