"3302055001DO001_20112013 Life Tables, States, Territories and Australia, 2011-2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,BMI,<25...14,2529...15,3034...16,3539...17,40+...18,<25...19,2529...20,3034...21,3539...22,40+...23,<25...24,2529...25,3034...26,3539...27,40+...28,<25...29,2529...30,3034...31,3539...32,40+...33
Released at 11:30 am (Canberra time) Thurs 6 Nov 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HR for BMI,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005
"Table 1.9 Life Tables, Australia, 2011–2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prevalence,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2
NA,Males,NA,NA,NA,Females,NA,NA,NA,NA,NA,NA,HR for low SEP,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1,1,1,1,1,1.39,1.39,1.39,1.39,1.39
NA,lx,qx,Lx,ex,lx,qx,Lx,ex,NA,qx,NA,Prevalence,0.52600000000000002,0.56699999999999995,0.47699999999999998,0.45,0.59199999999999997,NA,NA,NA,NA,NA,0.52600000000000002,0.56699999999999995,0.47699999999999998,0.45,0.59199999999999997,NA,NA,NA,NA,NA
Age,no.,rate,no.,years,no.,rate,no.,years,NA,male,female,NA,male_sep1_bmi0,male_sep1_bmi1,male_sep1_bmi2,male_sep1_bmi3,male_sep1_bmi4,male_sep0_bmi0,male_sep0_bmi1,male_sep0_bmi2,male_sep0_bmi3,male_sep0_bmi4,female_sep1_bmi0,female_sep1_bmi1,female_sep1_bmi2,female_sep1_bmi3,female_sep1_bmi4,female_sep0_bmi0,female_sep0_bmi1,female_sep0_bmi2,female_sep0_bmi3,female_sep0_bmi4
82,54980,6.4729999999999996E-2,53217,7.5,69276,4.3180000000000003E-2,67806,8.9,NA,6.4729999999999996E-2,4.3180000000000003E-2,NA,3.8710775790719451E-2,5.0324008527935289E-2,6.5421211086315878E-2,8.5047574412210655E-2,0.11056184673587384,5.3807978349100033E-2,6.9950371853830046E-2,9.0935483409979062E-2,0.1182161284329728,0.15368096696286462,3.0596795527737683E-2,3.9775834186058991E-2,5.170858444187669E-2,6.7221159774439709E-2,8.7387507706771617E-2,4.2529545783555375E-2,5.5288409518621989E-2,7.1874932374208597E-2,9.3437412086471175E-2,0.12146863571241252
83,51421,7.2789999999999994E-2,49564,7,66285,4.9759999999999999E-2,64662,8.3000000000000007,NA,7.2789999999999994E-2,4.9759999999999999E-2,NA,4.3530934185176409E-2,5.6590214440729335E-2,7.3567278772948136E-2,9.5637462404832591E-2,0.12432870112628236,6.0507998517395203E-2,7.8660398072613769E-2,0.1022585174943979,0.13293607274271729,0.17281689456553248,3.5259299339051114E-2,4.5837089140766452E-2,5.9588215882996391E-2,7.7464680647895315E-2,0.10070408484226391,4.9010426081281047E-2,6.3713553905665368E-2,8.282762007736498E-2,0.10767590610057448,0.13997867793074684
84,47678,8.1860000000000002E-2,45739,6.5,62987,5.7349999999999998E-2,61207,7.7,NA,8.1860000000000002E-2,5.7349999999999998E-2,NA,4.8955107465291123E-2,6.3641639704878461E-2,8.2734131616342008E-2,0.10755437110124462,0.13982068243161799,6.8047599376754656E-2,8.8461879189781059E-2,0.11500044294671538,0.14950057583073001,0.194350748579949,4.0637476227784991E-2,5.282871909612049E-2,6.8677334824956637E-2,8.9280535272443645E-2,0.11606469585417674,5.6486091956621132E-2,7.3431919543607477E-2,9.5461495406689717E-2,0.12409994402869666,0.16132992723730563
85,43775,9.2030000000000001E-2,41770,6.1,59375,6.6030000000000005E-2,57440,7.1,NA,9.2030000000000001E-2,6.6030000000000005E-2,NA,5.5037118739686558E-2,7.1548254361592525E-2,9.3012730670070293E-2,0.12091654987109139,0.1571915148324188,7.6501595048164311E-2,9.945207356261361E-2,0.12928769563139769,0.16807400432081704,0.21849620561706212,4.6788013170368674E-2,6.0824417121479277E-2,7.9071742257923072E-2,0.1027932649353,0.13363124441589,6.5035338306812449E-2,8.454593979885619E-2,0.10990972173851304,0.14288263826006697,0.18574742973808706
86,39747,0.10338,37697,5.6,55455,7.5870000000000007E-2,53374,6.6,NA,0.10338,7.5870000000000007E-2,NA,6.1824810771583145E-2,8.0372254003058086E-2,0.10448393020397552,0.1358291092651682,0.17657784204471866,8.5936486972500573E-2,0.11171743306425075,0.145232662983526,0.18880246187858379,0.24544320044215892,5.376051127117782E-2,6.9888664652531171E-2,9.0855264048290529E-2,0.1181118432627777,0.15354539624161101,7.4727110666937172E-2,9.7145243867018324E-2,0.12628881702712383,0.16417546213526099,0.21342810077583929
87,35638,0.11599,33570,5.2,51248,8.6929999999999993E-2,49039,6.1,NA,0.11599,8.6929999999999993E-2,NA,6.9366026324201288E-2,9.0175834221461679E-2,0.11722858448790019,0.15239715983427027,0.19811630778455133,9.6418776590639785E-2,0.12534440956783172,0.16294773243818125,0.21183205216963566,0.27538166782052637,6.1597485762534425E-2,8.0076731491294753E-2,0.10409975093868319,0.13532967622028816,0.1759285790863746,8.5620505209922843E-2,0.11130665677289969,0.14469865380476962,0.18810824994620054,0.24454072493006068
88,31504,0.12992000000000001,29451,4.8,46793,9.9269999999999997E-2,44483,5.7,NA,0.12992000000000001,9.9269999999999997E-2,NA,7.7696647469956304E-2,0.1010056417109432,0.13130733422422616,0.17069953449149403,0.22190939483894223,0.10799833998323925,0.14039784197821104,0.18251719457167437,0.2372723529431767,0.3084540588261297,7.0341451876760525E-2,9.1443887439788679E-2,0.1188770536717253,0.15454016977324292,0.20090222070521577,9.7774618108697128E-2,0.12710700354130627,0.16523910460369817,0.21481083598480763,0.27925408678024993
89,27411,0.1452,25408,4.5,42148,0.11293,39774,5.2,NA,0.1452,0.11293,NA,8.6834615245055841E-2,0.1128849998185726,0.14675049976414439,0.19077564969338773,0.24800834460140403,0.12070011519062761,0.15691014974781589,0.20398319467216067,0.26517815307380893,0.34473159899595157,8.0020753102070782E-2,0.10402697903269202,0.13523507274249963,0.17580559456524955,0.22854727293482441,0.11122884681187838,0.1445975008554419,0.18797675111207449,0.24436977644569685,0.3176807093794059
90,23431,0.1615,21518,4.2,37388,0.12755,34998,4.8,NA,0.1615,0.12755,NA,9.6582578251215703E-2,0.12555735172658042,0.16322455724455456,0.21219192441792095,0.2758495017432972,0.13424978376918981,0.17452471889994675,0.22688213456993078,0.29494677494091009,0.38343080742318308,9.0380298044533139E-2,0.11749438745789309,0.15274270369526102,0.19856551480383935,0.25813516924499114,0.12562861428190106,0.16331719856647139,0.2123123581364128,0.2760060655773367,0.35880788525053769
91,19647,0.17699000000000001,17879,3.9,32619,0.14210999999999999,30287,4.5,NA,0.17699000000000001,0.14210999999999999,NA,0.10584613327976884,0.13759997326369949,0.17887996524280936,0.23254395481565221,0.30230714126034786,0.14712612525887869,0.19126396283654232,0.248643151687505,0.32323609719375657,0.4202069263518835,0.10069732775467349,0.13090652608107556,0.17017848390539822,0.22123202907701772,0.28760163780012304,0.13996928557899616,0.181960071252695,0.23654809262850351,0.30751252041705462,0.39976627654217101
92,16170,0.19169,14590,3.6,27984,0.15848999999999999,25748,4.0999999999999996,NA,0.19169,0.15848999999999999,NA,0.11463724102152034,0.14902841332797645,0.1937369373263694,0.25185801852428025,0.32741542408156432,0.15934576501991327,0.20714949452588724,0.26929434288365345,0.35008264574874953,0.45510743947337434,0.11230398617858141,0.14599518203215583,0.1897937366418026,0.24673185763434341,0.32075141492464643,0.15610254078822813,0.20293330302469659,0.26381329393210556,0.34295728211173732,0.44584446674525846
93,13070,0.21134,11661,3.3,23549,0.17845,21425,3.8,NA,0.21134,0.17845,NA,0.12638861973753512,0.16430520565879567,0.21359676735643437,0.27767579756336475,0.36097853683237413,0.1756801814351738,0.22838423586572595,0.29689950662544373,0.38596935861307696,0.50176016619700003,0.1264473867977024,0.16438160283701311,0.21369608368811707,0.27780490879455222,0.36114638143291788,0.17576186764880633,0.22849042794344823,0.29703755632648271,0.38614882322442762,0.50199347019175589
94,10308,0.23452999999999999,9069,3.1,19346,0.20068,17374,3.5,NA,0.23452999999999999,0.20068,NA,0.14025704072605333,0.18233415294386934,0.23703439882703015,0.30814471847513925,0.40058813401768101,0.1949572866092141,0.25344447259197833,0.32947781436957185,0.42832115868044346,0.55681750628457649,0.14219928037300597,0.18485906448490777,0.2403167838303801,0.31241181897949422,0.40613536467334244,0.19765699971847828,0.25695409963402177,0.3340403295242283,0.43425242838149686,0.56452815689594593
95,7890,0.25799,6839,2.9,15464,0.22331000000000001,13698,3.3,NA,0.25799,0.22331000000000001,NA,0.15428693104044044,0.20057301035257258,0.26074491345834439,0.33896838749584773,0.44065890374460204,0.2144588341462122,0.27879648439007587,0.36243542970709863,0.47116605861922828,0.61251587620499681,0.15823460883045629,0.20570499147959317,0.26741648892347114,0.34764143560051253,0.45193386628066629,0.21994610627433422,0.28592993815663448,0.3717089196036249,0.48322159548471239,0.62818807413012612
96,5855,0.27884999999999999,5004,2.7,12011,0.24465999999999999,10495,3.1,NA,0.27884999999999999,0.24465999999999999,NA,0.16676193155016406,0.21679051101521327,0.28182766431977729,0.36637596361571051,0.47628875270042365,0.23179908485472803,0.30133881031114645,0.39174045340449043,0.50926258942583758,0.66204136625358889,0.17336294566503707,0.22537182936454819,0.29298337817391268,0.38087839162608655,0.49514190911391248,0.2409744944744015,0.31326684281672196,0.40724689566173861,0.5294209643602602,0.68824725366833828
97,4222,0.29260999999999998,3574,2.6,9072,0.26046000000000002,7845,2.9,NA,0.29260999999999998,0.26046000000000002,NA,0.17499088682407565,0.22748815287129837,0.29573459873268787,0.38445497835249431,0.49979147185824258,0.24323733268546513,0.3162085324911047,0.41107109223843613,0.534392419909967,0.6947101458829571,0.18455862350983226,0.23992621056278196,0.31190407373161655,0.40547529585110159,0.52711788460643205,0.25653648667866685,0.33349743268226695,0.43354666248694701,0.56361066123303116,0.73269385960294053
98,2987,0.30637999999999999,2505,2.5,6709,0.27627000000000002,5743,2.7,NA,0.30637999999999999,0.27627000000000002,NA,0.18322582244338986,0.23819356917640683,0.30965163992932893,0.40254713190812763,0.52331127148056589,0.25468389319631191,0.33108906115520548,0.43041577950176718,0.55954051335229738,0.72740266735798653,0.1957613872266811,0.25448980339468547,0.33083674441309108,0.43008776773701846,0.55911409805812395,0.27210832824508668,0.35374082671861268,0.45986307473419652,0.59782199715445561,0.77716859630079227
99,2072,0.32013999999999998,1722,2.4,4856,0.29207,4113,2.6,NA,0.32013999999999998,0.29207,NA,0.19145477771730149,0.24889121103249195,0.32355857434223956,0.42062614664491149,0.54681399063838487,0.26612214102704906,0.34595878333516378,0.44974641833571294,0.58467034383642691,0.76007144698735496,0.20695706507147626,0.26904418459291918,0.34975743997079495,0.45468467196203344,0.59109007355064347,0.28767032044935198,0.37397141658415761,0.48616284155940487,0.63201169402722646,0.8216152022353943
100,1408,0.33389999999999997,3204,2.2999999999999998,3437,0.30786999999999998,8550,2.5,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
