Select option,NA,3,1 = Carry 2021 forward; 2 = EPS (slow growth); 3 = EPS exc COVID (higher growth),NA,NA,NA,NA,NA,NA,NA,Option 1: Carry 2021 forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,Option 2,Exponential smoothing,NA,NA,NA,NA,NA,NA,NA,NA,Option 3,Exponential smoothing excluding COVID,NA,NA,NA,NA,NA,NA,NA
Cal factor,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cal factor,1.2751151584448992,1.0968515605889055,1.1153087250456681,1.0564986174632112,1.3126654964262974,1.1501174932015772,1.0720297656347886,0.98357405135158948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Year,female4554,female5564,female6574,female75,male4554,male5564,male6574,male75,NA,NA,Year,female4554,female5564,female6574,female75,male4554,male5564,male6574,male75,NA,Year,female4554,female5564,female6574,female75,male4554,male5564,male6574,male75,NA,Year,female4554,female5564,female6574,female75,male4554,male5564,male6574,male75
2031,145.76833039775775,586.1593211771899,1319.8871254612434,988.55252642897892,138.52074818544691,724.02549421310846,1238.3904435695772,979.23524414287226,NA,NA,2031,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2031,130.59681899130899,476.49916687606259,976.45641795340202,802.89261581548669,126.05205849824532,625.26005422627873,1078.5877998589729,840.70088542504459,NA,2031,145.76833039775775,586.1593211771899,1319.8871254612434,988.55252642897892,138.52074818544691,724.02549421310846,1238.3904435695772,979.23524414287226
2032,147.56924409615021,590.72135741784803,1336.3704064034855,999.20983338558267,141.73574311646098,740.90589812012217,1259.338639512569,986.91727882008433,NA,NA,2032,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2032,131.55589386362408,474.18495292849479,972.32122266886313,802.41955369540858,128.51475743577927,636.22709053655308,1090.2124996966834,839.87109562979845,NA,2032,147.56924409615021,590.72135741784803,1336.3704064034855,999.20983338558267,141.73574311646098,740.90589812012217,1259.338639512569,986.91727882008433
2033,149.37015779454265,595.28339365850604,1352.8536873457276,1009.8671403421863,144.95073804747508,757.78630202713578,1280.2868354555608,994.59931349729629,NA,NA,2033,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2033,132.51496873593914,471.87073898092694,968.18602738432435,801.94649157533058,130.97745637331323,647.19412684682732,1101.8371995343939,839.0413058345523,NA,2033,149.37015779454265,595.28339365850604,1352.8536873457276,1009.8671403421863,144.95073804747508,757.78630202713578,1280.2868354555608,994.59931349729629
2034,151.17107149293511,599.84542989916406,1369.3369682879695,1020.5244472987899,148.16573297848916,774.66670593414938,1301.2350313985526,1002.2813481745084,NA,NA,2034,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2034,133.47404360825419,469.55652503335909,964.05083209978545,801.47342945525247,133.44015531084719,658.16116315710167,1113.4618993721044,838.21151603930616,NA,2034,151.17107149293511,599.84542989916406,1369.3369682879695,1020.5244472987899,148.16573297848916,774.66670593414938,1301.2350313985526,1002.2813481745084
2035,152.97198519132755,604.40746613982208,1385.8202492302116,1031.1817542553936,151.38072790950326,791.54710984116298,1322.1832273415446,1009.9633828517203,NA,NA,2035,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2035,134.43311848056925,467.2423110857913,959.91563681524667,801.00036733517436,135.90285424838115,669.12819946737591,1125.0865992098149,837.38172624406002,NA,2035,152.97198519132755,604.40746613982208,1385.8202492302116,1031.1817542553936,151.38072790950326,791.54710984116298,1322.1832273415446,1009.9633828517203
2036,154.77289888972001,608.96950238048009,1402.3035301724535,1041.8390612119974,154.59572284051734,808.42751374817658,1343.1314232845364,1017.6454175289323,NA,NA,2036,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2036,135.39219335288431,464.92809713822345,955.78044153070778,800.52730521509625,138.3655531859151,680.09523577765026,1136.7112990475255,836.55193644881388,NA,2036,154.77289888972001,608.96950238048009,1402.3035301724535,1041.8390612119974,154.59572284051734,808.42751374817658,1343.1314232845364,1017.6454175289323
2037,156.57381258811245,613.53153862113822,1418.7868111146956,1052.4963681686011,157.81071777153144,825.30791765519029,1364.0796192275284,1025.3274522061442,NA,NA,2037,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2037,136.35126822519939,462.6138831906556,951.64524624616888,800.05424309501825,140.82825212344906,691.0622720879245,1148.335998885236,835.72214665356773,NA,2037,156.57381258811245,613.53153862113822,1418.7868111146956,1052.4963681686011,157.81071777153144,825.30791765519029,1364.0796192275284,1025.3274522061442
2038,158.37472628650491,618.09357486179624,1435.2700920569378,1063.1536751252047,161.02571270254555,842.1883215622039,1385.0278151705202,1033.0094868833564,NA,NA,2038,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2038,137.31034309751445,460.29966924308781,947.5100509616301,799.58118097494014,143.29095106098302,702.02930839819874,1159.9606987229465,834.89235685832159,NA,2038,158.37472628650491,618.09357486179624,1435.2700920569378,1063.1536751252047,161.02571270254555,842.1883215622039,1385.0278151705202,1033.0094868833564
2039,160.17563998489734,622.65561110245426,1451.7533729991796,1073.8109820818083,164.24070763355962,859.0687254692175,1405.976011113512,1040.6915215605684,NA,NA,2039,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2039,138.2694179698295,457.98545529551996,943.3748556770912,799.10811885486203,145.75364999851698,712.99634470847309,1171.585398560657,834.06256706307533,NA,2039,160.17563998489734,622.65561110245426,1451.7533729991796,1073.8109820818083,164.24070763355962,859.0687254692175,1405.976011113512,1040.6915215605684
2040,161.97655368328981,627.21764734311228,1468.2366539414218,1084.468289038412,167.45570256457373,875.94912937623121,1426.9242070565037,1048.3735562377803,NA,NA,2040,126.47480715167463,507.91249973245573,1030.3765002745704,824.32741612047971,103.07435874841293,517.05501207479517,971.82376481045935,855.04611862923321,NA,2040,139.22849284214456,455.6712413479521,939.23966039255242,798.63505673478392,148.21634893605093,723.96338101874733,1183.2100983983676,833.23277726782919,NA,2040,161.97655368328981,627.21764734311228,1468.2366539414218,1084.468289038412,167.45570256457373,875.94912937623121,1426.9242070565037,1048.3735562377803
